# Fungal class -> subphylum (NCBI-taxonomy order), used by select_genomes.py
# to enforce the subphylum-level quotas of DESIGN.md. Rows for classes that
# appear in the Fungi_BFD candidate pool plus a few extras.
# class	subphylum	phylum
class	subphylum	phylum
Arthoniomycetes	Pezizomycotina	Ascomycota
Candelariomycetes	Pezizomycotina	Ascomycota
Coniocybomycetes	Pezizomycotina	Ascomycota
Dothideomycetes	Pezizomycotina	Ascomycota
Eurotiomycetes	Pezizomycotina	Ascomycota
Geoglossomycetes	Pezizomycotina	Ascomycota
Laboulbeniomycetes	Pezizomycotina	Ascomycota
Lecanoromycetes	Pezizomycotina	Ascomycota
Leotiomycetes	Pezizomycotina	Ascomycota
Lichinomycetes	Pezizomycotina	Ascomycota
Orbiliomycetes	Pezizomycotina	Ascomycota
Pezizomycetes	Pezizomycotina	Ascomycota
Sareomycetes	Pezizomycotina	Ascomycota
Sordariomycetes	Pezizomycotina	Ascomycota
Xylobotryomycetes	Pezizomycotina	Ascomycota
Xylonomycetes	Pezizomycotina	Ascomycota
Alloascoideomycetes	Saccharomycotina	Ascomycota
Dipodascomycetes	Saccharomycotina	Ascomycota
Lipomycetes	Saccharomycotina	Ascomycota
Novakomycetes	Saccharomycotina	Ascomycota
Pichiomycetes	Saccharomycotina	Ascomycota
Saccharomycetes	Saccharomycotina	Ascomycota
Saitoellomycetes	Saccharomycotina	Ascomycota
Sporopachydermiomycetes	Saccharomycotina	Ascomycota
Trigonopsidomycetes	Saccharomycotina	Ascomycota
Neolectomycetes	Taphrinomycotina	Ascomycota
Pneumocystomycetes	Taphrinomycotina	Ascomycota
Schizosaccharomycetes	Taphrinomycotina	Ascomycota
Taphrinomycetes	Taphrinomycotina	Ascomycota
Agaricomycetes	Agaricomycotina	Basidiomycota
Dacrymycetes	Agaricomycotina	Basidiomycota
Tremellomycetes	Agaricomycotina	Basidiomycota
Wallemiomycetes	Agaricomycotina	Basidiomycota
Agaricostilbomycetes	Pucciniomycotina	Basidiomycota
Atractiellomycetes	Pucciniomycotina	Basidiomycota
Classiculomycetes	Pucciniomycotina	Basidiomycota
Cystobasidiomycetes	Pucciniomycotina	Basidiomycota
Microbotryomycetes	Pucciniomycotina	Basidiomycota
Mixiomycetes	Pucciniomycotina	Basidiomycota
Peribolosporomycetes	Pucciniomycotina	Basidiomycota
Pucciniomycetes	Pucciniomycotina	Basidiomycota
Spiculogloeomycetes	Pucciniomycotina	Basidiomycota
Tritirachiomycetes	Pucciniomycotina	Basidiomycota
Exobasidiomycetes	Ustilaginomycotina	Basidiomycota
Geminibasidiomycetes	Ustilaginomycotina	Basidiomycota
Malasseziomycetes	Ustilaginomycotina	Basidiomycota
Moniliellomycetes	Ustilaginomycotina	Basidiomycota
Ustilaginomycetes	Ustilaginomycotina	Basidiomycota
Endogonomycetes	Mucoromycotina	Mucoromycota
Mucoromycetes	Mucoromycotina	Mucoromycota
Umbelopsidomycetes	Mucoromycotina	Mucoromycota
Caulochytriomycetes	Chytridiomycotina	Chytridiomycota
Chytridiomycetes	Chytridiomycotina	Chytridiomycota
Blastocladiomycetes	Blastocladiomycotina	Blastocladiomycota
Physodermatomycetes	Blastocladiomycotina	Blastocladiomycota
