cellA	cellB	metric	n	medA	medB	med_diff	B_gt_A	B_lt_A	p
v1.8.17_conda	v1.9.0-rc1_conda	exon_sn	13	64.10	64.90	+0.40	10	2	0.0085
v1.8.17_conda	v1.9.0-rc1_conda	exon_pr	13	68.00	68.30	+0.50	13	0	0.00024
v1.8.17_conda	v1.9.0-rc1_conda	intron_sn	13	76.30	77.50	+0.60	12	1	0.0012
v1.8.17_conda	v1.9.0-rc1_conda	intron_pr	13	83.00	82.70	+0.20	12	1	0.0046
v1.8.17_conda	v1.9.0-rc1_conda	intron_chain_sn	13	52.20	54.40	+0.70	13	0	0.00024
v1.8.17_conda	v1.9.0-rc1_conda	intron_chain_pr	13	55.60	55.70	+0.60	12	1	0.00073
v1.8.17_conda	v1.9.0-rc1_conda	transcript_sn	13	52.40	52.80	+0.30	9	3	0.017
v1.8.17_conda	v1.9.0-rc1_conda	transcript_pr	13	63.40	65.00	+1.40	13	0	0.00024
v1.8.17_conda	v1.9.0-rc1_conda	locus_sn	13	56.30	57.60	+0.40	10	3	0.01
v1.8.17_conda	v1.9.0-rc1_conda	missed_loci_pct	13	7.20	7.10	+0.10	7	5	0.84
v1.8.17_conda	v1.9.0-rc1_conda	busco_complete_pct	13	94.70	94.40	+0.10	7	4	0.23
v1.8.17_conda	v1.9.0-rc1_conda_rust	exon_sn	12	67.25	67.10	+0.20	8	3	0.23
v1.8.17_conda	v1.9.0-rc1_conda_rust	exon_pr	12	68.10	68.35	+0.55	9	2	0.021
v1.8.17_conda	v1.9.0-rc1_conda_rust	intron_sn	12	77.00	77.15	+0.05	6	5	0.86
v1.8.17_conda	v1.9.0-rc1_conda_rust	intron_pr	12	84.35	84.45	+0.30	8	2	0.024
v1.8.17_conda	v1.9.0-rc1_conda_rust	intron_chain_sn	12	52.70	53.15	+0.00	6	6	0.91
v1.8.17_conda	v1.9.0-rc1_conda_rust	intron_chain_pr	12	56.10	57.10	+0.55	8	3	0.13
v1.8.17_conda	v1.9.0-rc1_conda_rust	transcript_sn	12	52.60	52.55	+0.25	8	4	0.3
v1.8.17_conda	v1.9.0-rc1_conda_rust	transcript_pr	12	63.80	65.00	+1.20	9	3	0.034
v1.8.17_conda	v1.9.0-rc1_conda_rust	locus_sn	12	58.50	58.10	+0.30	8	4	0.27
v1.8.17_conda	v1.9.0-rc1_conda_rust	missed_loci_pct	12	7.10	7.25	+0.20	9	2	0.011
v1.8.17_conda	v1.9.0-rc1_conda_rust	busco_complete_pct	12	95.15	95.30	-0.35	4	8	0.2
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	exon_sn	11	53.60	62.30	+0.90	7	4	0.1
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	exon_pr	11	67.60	66.40	-1.60	5	6	0.7
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	intron_sn	11	76.30	79.60	+1.50	9	2	0.15
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	intron_pr	11	83.00	77.20	-2.00	4	7	0.52
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	intron_chain_sn	11	51.80	48.90	-2.90	1	10	0.042
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	intron_chain_pr	11	42.60	52.80	-1.70	4	7	0.9
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	transcript_sn	11	51.10	50.60	-3.00	4	7	0.9
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	transcript_pr	11	63.40	58.90	-1.10	4	7	0.76
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	locus_sn	11	56.30	55.20	-2.90	4	7	0.97
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	missed_loci_pct	11	7.00	7.60	-0.30	4	6	0.57
v1.8.17_conda	v1.9.0-rc1_container.sif20260921	busco_complete_pct	11	94.70	94.40	-0.40	4	7	0.46
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	exon_sn	13	64.10	65.00	+0.20	7	6	0.41
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	exon_pr	13	68.00	66.80	-1.40	6	7	0.95
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	intron_sn	13	76.30	78.90	+1.30	10	3	0.41
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	intron_pr	13	83.00	76.80	-1.50	5	8	0.74
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	intron_chain_sn	13	52.20	48.90	-3.10	1	12	0.0081
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	intron_chain_pr	13	55.60	52.60	-1.70	5	8	0.68
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	transcript_sn	13	52.40	50.10	-3.20	4	9	0.84
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	transcript_pr	13	63.40	58.70	-1.10	4	9	1
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	locus_sn	13	56.30	55.30	-3.50	4	9	0.68
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	missed_loci_pct	13	7.20	7.70	-0.30	5	8	1
v1.8.17_conda	v1.9.0-rc1_container_rust.sif20260921	busco_complete_pct	13	94.70	94.30	-0.60	3	10	0.15
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	exon_sn	35	55.50	55.30	-0.30	11	21	0.13
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	exon_pr	35	66.70	66.40	+0.10	18	14	0.61
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	intron_sn	35	73.00	72.40	-0.40	7	26	0.0029
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	intron_pr	35	82.00	82.00	+0.10	19	13	0.14
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	intron_chain_sn	35	54.40	54.00	-0.20	12	20	0.034
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	intron_chain_pr	35	52.70	53.00	+0.20	20	14	0.31
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	transcript_sn	35	52.80	52.50	+0.10	19	15	0.99
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	transcript_pr	35	57.10	57.20	+0.10	20	12	0.57
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	locus_sn	35	54.80	54.90	+0.10	19	16	0.88
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	missed_loci_pct	35	9.10	9.50	+0.20	24	7	0.03
v1.9.0-rc1_conda	v1.9.0-rc1_conda_rust	busco_complete_pct	35	94.80	94.90	-0.20	11	20	0.025
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	exon_sn	33	61.60	60.80	-0.10	5	23	0.00076
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	exon_pr	33	63.10	63.00	-0.10	3	20	0.0045
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	intron_sn	33	79.40	78.90	-0.10	7	19	0.015
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	intron_pr	33	77.40	77.30	-0.10	4	19	0.0054
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	intron_chain_sn	33	49.40	49.30	-0.10	8	20	0.011
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	intron_chain_pr	33	52.80	52.60	+0.00	8	15	0.028
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	transcript_sn	33	50.60	50.10	-0.20	7	24	0.00019
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	transcript_pr	33	54.70	54.60	+0.00	9	14	0.27
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	locus_sn	33	52.00	50.90	-0.20	7	24	0.00022
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	missed_loci_pct	33	10.60	11.20	+0.10	21	5	0.00014
v1.9.0-rc1_container.sif20260921	v1.9.0-rc1_container_rust.sif20260921	busco_complete_pct	33	94.30	94.00	-0.10	7	19	0.0037
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	exon_sn	33	55.10	58.10	-0.30	13	19	0.44
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	exon_pr	33	61.40	63.10	-2.20	8	25	0.055
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	intron_sn	33	73.00	79.40	+0.90	24	9	0.23
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	intron_pr	33	82.00	77.20	-3.50	6	27	0.0049
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	intron_chain_sn	33	52.50	49.20	-3.50	3	30	1.6e-05
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	intron_chain_pr	33	50.30	52.80	-2.90	8	24	0.059
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	transcript_sn	33	52.30	50.60	-3.10	7	26	0.004
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	transcript_pr	33	57.10	54.70	-2.60	9	24	0.013
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	locus_sn	33	53.60	52.00	-3.10	7	26	0.0035
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	missed_loci_pct	33	9.10	10.40	-0.70	8	23	0.16
v1.9.0-rc1_conda	v1.9.0-rc1_container.sif20260921	busco_complete_pct	33	94.80	94.30	-0.70	7	25	0.013
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	exon_sn	35	56.40	61.40	+0.10	18	17	0.49
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	exon_pr	35	66.60	64.20	-1.90	11	24	0.11
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	intron_sn	35	72.40	78.90	+1.10	25	10	0.11
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	intron_pr	35	82.90	77.40	-2.70	10	24	0.016
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	intron_chain_sn	35	54.00	49.40	-3.10	5	30	4.2e-05
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	intron_chain_pr	35	54.80	55.30	-2.90	12	23	0.33
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	transcript_sn	35	52.60	50.10	-3.00	10	25	0.037
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	transcript_pr	35	57.20	58.70	-2.20	12	23	0.13
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	locus_sn	35	54.90	52.80	-2.90	10	25	0.04
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	missed_loci_pct	35	10.10	11.20	-0.80	8	26	0.033
v1.9.0-rc1_conda_rust	v1.9.0-rc1_container_rust.sif20260921	busco_complete_pct	35	94.90	94.10	-0.60	7	26	0.043
