accession	asm_folder	masked_linked	reference_sources	notes
GCA_000151295.1	GCA_000151295.1_A_macrogynus_V3	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000182565.1	GCF_000182565.1_S_punctatus_V1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000149305.1	GCF_000149305.1_RO3	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_001638985.1	GCF_001638985.1_Phybl2	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_002708625.1	GCF_002708625.1_Rhimi1_1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000091045.1	GCF_000091045.1_ASM9104v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000149245.1	GCF_000149245.1_CNA3	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000320785.1	GCF_000320785.1_RHOziaDV1.0	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000181695.2	GCF_000181695.2_ASM18169v2	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_001329695.1	GCF_001329695.1_Rhoba1_1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000002495.2	GCF_000002495.2_MG8	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000143105.1	GCF_000143105.1_Sanger-454-IlluminaPA_2.0	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000001985.1	GCF_000001985.1_JCVI-PMFA1-2.0	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000225545.1	GCF_000225545.1_AOL24927_1.0	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000146915.1	GCF_000146915.1_ASM14691v2	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000149985.1	GCF_000149985.1_ASM14998v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000002515.2	GCF_000002515.2_ASM251v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_003444635.1	GCF_003444635.1_ASM344463v2	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000002525.2	GCF_000002525.2_ASM252v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000002545.3	GCF_000002545.3_ASM254v2	yes	gff=present,protein=present,cds=present,seq-report=missing	seq-report_missing
GCF_000711695.1	GCF_000711695.1_Tilletiaria_anomala_UBC_951_v1.0	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_003144115.1	GCF_003144115.1_Tilwa1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000166005.1	GCF_000166005.1_PyrTer_1.0	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_039999085.1	GCF_039999085.1_Rhomi1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000143185.2	GCF_000143185.2_Schco3	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000002655.1	GCF_000002655.1_ASM265v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000143535.2	GCF_000143535.2_ASM14353v4	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000002715.2	GCF_000002715.2_ASM271v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000026365.1	GCF_000026365.1_ASM2636v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000271645.1	GCF_000271645.1_Treme1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_020137385.1	GCF_020137385.1_ASM2013738v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000349305.1	GCF_000349305.1_ASM34930v2	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000708205.1	GCF_000708205.1_Mixia_osmundae_v1.0	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000143365.1	GCF_000143365.1_ASM14336v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_029532465.1	GCF_029532465.1_Liptet1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000145635.1	GCF_000145635.1_Gae_graminis_V2	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_025094135.1	GCF_025094135.1_Mucmuc1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000146945.2	GCF_000146945.2_ASM14694v2	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_050403365.1	GCF_050403365.1_S_koalae_JCM15063v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000349005.2	GCF_000349005.2_Pneumo_murina_B123_V4	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000003125.1	GCF_000003125.1_JCVI-TSTA1-3.0	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_050403485.1	GCF_050403485.1_S_salmoneus_JCM6883v1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_024521635.1	GCF_024521635.1_Tripra1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_002105105.1	GCF_002105105.1_Prola1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000091025.4	GCF_000091025.4_ASM9102v4	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000184105.1	GCF_000184105.1_Geom_destructans_V1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000149035.1	GCF_000149035.1_C_graminicola_M1_001_V1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000203795.2	GCF_000203795.2_v1.1	yes	gff=present,protein=present,cds=present,seq-report=present	
GCF_000441935.1	GCF_000441935.1_MHA_v2	yes	gff=present,protein=present,cds=present,seq-report=present	
