cell	genome	process	n_tasks	n_failed	n_aborted	n_superseded	n_unresolved	realtime_hours_sum	wall_clock_hours	cpu_hours_sum	peak_rss_gb_max	rss_field	overhead_task_time_hours_sum	overhead_cpu_hours_sum	attempts	cpus	queues
v1.8.17_conda	-	FETCH_RNASEQ:COLLECT_SRA_QUERY	1	0	0	6	0	0.0001		0.0	0.003	rss	0.0005	0.0003			
v1.8.17_conda	-	SETUP_DBS:SETUP_MARIADB_DATADIR	1	0	0	1	0	0.0014		0.0003	0.14	rss	0.0013	0.0003			
v1.8.17_conda	Allomyces_macrogynus_ATCC_38327	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.0481		6.0483	6.7	rss	0.0	0.0			
v1.8.17_conda	Allomyces_macrogynus_ATCC_38327	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	32	0	2	0	0.045		0.0304	0.099	rss	14.8894	2.1823			
v1.8.17_conda	Aspergillus_fumigatus_Af293	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.6092		3.4844	9.4	rss	0.0	0.0			
v1.8.17_conda	Aspergillus_fumigatus_Af293	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	23	0	2	0	1.1936		1.9181	1.5	rss	16.3783	24.384			
v1.8.17_conda	Batrachochytrium_dendrobatidis_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Batrachochytrium_dendrobatidis_JAM81	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.4289		2.4112	5.0	rss	0.0	0.0			
v1.8.17_conda	Batrachochytrium_dendrobatidis_JAM81	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	29	0	1	0	1.175		2.417	1.5	rss	28.7503	22.5714			
v1.8.17_conda	Botrytis_cinerea_B05.10	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.6275		3.5397	11.4	rss	0.0	0.0			
v1.8.17_conda	Botrytis_cinerea_B05.10	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	9.73		30.7468	3.9	rss	0.0	0.0			
v1.8.17_conda	Chaetomium_globosum_CBS_148.51	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.6108		3.629	8.7	rss	0.0	0.0			
v1.8.17_conda	Chaetomium_globosum_CBS_148.51	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	24	0	2	0	1.1572		2.0842	2.8	rss	39.9517	73.049			
v1.8.17_conda	Cryptococcus_deneoformans_JEC21	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	9.2519		22.4545	5.8	rss	0.0	0.0			
v1.8.17_conda	Cryptococcus_neoformans_H99	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.525		2.6502	8.0	rss	0.0	0.0			
v1.8.17_conda	Cryptococcus_neoformans_H99	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	29	0	0	0	1.2478		2.1574	1.4	rss	14.367	0.0			
v1.8.17_conda	Fusarium_verticillioides_7600	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.9575		5.0987	13.4	rss	0.0	0.0			
v1.8.17_conda	Fusarium_verticillioides_7600	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	6.9833		25.0772	3.5	rss	0.0	0.0			
v1.8.17_conda	Kluyveromyces_lactis_NRRL_Y-1140	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	2.2006		8.8638	2.8	rss	0.0	0.0			
v1.8.17_conda	Leptographium_clavigerum_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Malassezia_globosa	FETCH_RNASEQ:SRA_FETCH	0	12	0	0	1	0.0		0.0	0.0		0.6	0.0			
v1.8.17_conda	Malassezia_globosa	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.0029		0.0007	0.045	rss	0.0	0.0			
v1.8.17_conda	Malassezia_globosa_CBS_7966	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	1	0	0.3208		1.7941	3.0	rss	0.4469	1.6318			
v1.8.17_conda	Malassezia_globosa_CBS_7966	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	29	0	2	0	2.9878		7.3798	4.2	rss	11.0581	0.1105			
v1.8.17_conda	Malassezia_sympodialis_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Malassezia_sympodialis_ATCC_42132	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	1.9022		10.9777	3.6	rss	0.0	0.0			
v1.8.17_conda	Mucor_mucedo_NRRL_3635	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	6.0894		28.0602	5.5	rss	0.0	0.0			
v1.8.17_conda	Nakaseomyces_glabratus_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Nakaseomyces_glabratus_CBS_138	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	2.7919		14.1942	3.4	rss	0.0	0.0			
v1.8.17_conda	Orbilia_oligospora_ATCC_24927	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	6.5319		33.3652	8.7	rss	0.0	0.0			
v1.8.17_conda	Pneumocystis_murina_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0002		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Pneumocystis_murina_B123	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.5		2.541	3.5	rss	0.0	0.0			
v1.8.17_conda	Rhizopus_microsporus_ATCC_52813	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	0.3469		1.5064	3.4	rss	0.0	0.0			
v1.8.17_conda	Rhodotorula_toruloides_NP11	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.0361		5.6903	4.5	rss	0.0	0.0			
v1.8.17_conda	Rhodotorula_toruloides_NP11	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	4.5561		6.7476	0.493	rss	0.0	0.0			
v1.8.17_conda	Saccharomyces_cerevisiae_S288C	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.3572		2.0808	2.8	rss	0.0	0.0			
v1.8.17_conda	Saccharomyces_cerevisiae_S288C	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	25	0	1	0	0.2989		0.4337	1.5	rss	25.2867	10.5681			
v1.8.17_conda	Schizophyllum_commune_H4-8	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.645		3.7545	14.0	rss	0.0	0.0			
v1.8.17_conda	Schizophyllum_commune_H4-8	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	8.8153		20.5925	2.6	rss	0.0	0.0			
v1.8.17_conda	Sclerotinia_sclerotiorum_1980	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	5.3533		25.6103	3.5	rss	0.0	0.0			
v1.8.17_conda	Spizellomyces_punctatus_+1_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Spizellomyces_punctatus_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Spizellomyces_punctatus_DAOM_BR117	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	0.0098		0.0043	0.103	rss	0.0	0.0			
v1.8.17_conda	Talaromyces_marneffei_ATCC_18224	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	5.9625		29.574	10.0	rss	0.0	0.0			
v1.8.17_conda	Tilletiaria_anomala_UBC_951	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	7.1525		16.6439	2.2	rss	0.0	0.0			
v1.8.17_conda	Tilletiopsis_washingtonensis_MCA_4186	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.5047		2.5917	4.9	rss	0.0	0.0			
v1.8.17_conda	Tilletiopsis_washingtonensis_MCA_4186	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	6.3192		13.8263	1.7	rss	0.0	0.0			
v1.8.17_conda	Trichosporon_asahii_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0002		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Umbelopsis_ramanniana_AG	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.4003		2.3268	4.1	rss	0.0	0.0			
v1.8.17_conda	Umbelopsis_ramanniana_AG	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	29	0	1	0	0.5636		0.9288	1.3	rss	22.0661	22.2936			
v1.8.17_conda	Wallemia_mellicola_+4_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0			
v1.8.17_conda	Yarrowia_lipolytica_CLIB122	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.5989		3.3915	5.4	rss	0.0	0.0			
v1.8.17_conda	Yarrowia_lipolytica_CLIB122	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	1	0	3.5717		18.6977	1.7	rss	9.5197	24.4562			
v1.8.17_conda	Zygosaccharomyces_rouxii_CBS_732	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.4825		2.5862	4.3	rss	0.0	0.0			
v1.8.17_conda	Zygosaccharomyces_rouxii_CBS_732	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	1.3931		4.937	3.0	rss	0.0	0.0			
v1.9.0-beta12_container	-	ASM_STATS	1	0	0	0	0	0.0003		0.0003	0.005	rss	0.0	0.0			
v1.9.0-beta12_container	-	FETCH_RNASEQ:COLLECT_SRA_QUERY	1	0	0	2	0	0.0		0.0	0.003	rss	0.0	0.0			
v1.9.0-beta12_container	-	SETUP_DBS:SETUP_AUGUSTUS_CONFIG	1	0	0	0	0	0.0004		0.0001	0.005	rss	0.0	0.0			
v1.9.0-beta12_container	-	SETUP_DBS:SETUP_MARIADB_DATADIR	1	0	0	0	0	0.0009		0.0004	0.145	rss	0.0	0.0			
v1.9.0-beta12_container	Allomyces_macrogynus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.0314		12.0538	2.1	rss	0.0	0.0			
v1.9.0-beta12_container	Allomyces_macrogynus_ATCC_38327	MASK_GENOME:MASKREPEAT_TANTAN_RUN	1	0	0	0	0	0.0075		0.0121	0.068	rss	0.0	0.0			
v1.9.0-beta12_container	Allomyces_macrogynus_ATCC_38327	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.9253		5.5878	9.9	rss	0.0	0.0			
v1.9.0-beta12_container	Allomyces_macrogynus_ATCC_38327	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	0.985		3.0279	1.2	rss	0.0	0.0			
v1.9.0-beta12_container	Aspergillus_fumigatus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.7925		9.0519	3.1	rss	0.0	0.0			
v1.9.0-beta12_container	Aspergillus_fumigatus_Af293	MASK_GENOME:MASKREPEAT_TANTAN_RUN	1	0	0	0	0	0.0056		0.0076	0.078	rss	0.0	0.0			
v1.9.0-beta12_container	Aspergillus_fumigatus_Af293	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.5361		3.2558	19.9	rss	0.0	0.0			
v1.9.0-beta12_container	Aspergillus_fumigatus_Af293	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0	0.6733		1.5911	1.2	rss	0.0	0.0			
