cell	genome	process	n_tasks	n_failed	n_aborted	n_superseded	n_unresolved	realtime_hours_sum	wall_clock_hours	cpu_hours_sum	peak_rss_gb_max	rss_field	overhead_task_time_hours_sum	overhead_cpu_hours_sum	attempts	cpus	queues
v1.9.0-rc1_container	Allomyces_macrogynus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.2228	1.2334	15.5562	2.2	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Aspergillus_clavatus_NRRL_1	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.7225	1.7168	11.5563	11.2	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Aspergillus_fumigatus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.0053	1.0001	12.9691	3.9	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Blastomyces_dermatitidis_ER-3	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.6811	1.7001	10.7793	23.2	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Botrytis_cinerea	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.4122	1.4168	17.8787	2.6	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Chaetomium_globosum	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.5128	1.5168	18.701	2.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Cryptococcus_deneoformans	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.6714	0.6834	8.0533	3.1	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Cryptococcus_neoformans	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.7506	0.7501	9.7092	2.2	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Cystobasidium_minutum_MCA_4210	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.4225	1.4167	8.3145	12.3	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Dactylellina_haptotyla_CBS_200.50	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.0658	1.0668	6.2053	2.6	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Eremothecium_gossypii_ATCC_10895	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	2.9428	2.9503	8.6694	3.3	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Gaeumannomyces_tritici	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.4056	1.4168	17.0719	2.6	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Kluyveromyces_lactis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.255	0.2667	3.0886	4.7	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Laccaria_bicolor_S238N-H82	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	2.4764	2.4836	15.9653	6.9	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Leptographium_clavigerum_kw1407	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.8281	1.8335	11.2901	6.5	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Letharia_columbiana_WasteWater2	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.2486	1.2501	7.7002	4.3	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Lipomyces_tetrasporus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.1875	1.2001	15.3093	3.0	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Malassezia_globosa	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.31	0.3167	3.8629	1.5	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Malassezia_sympodialis	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	0.3833	0.3834	4.4398	1.0	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Mixia_osmundae_IAM_14324	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.1864	1.2001	6.1514	4.2	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Morchella_importuna	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.35	1.3501	14.9418	6.9	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Mucor_mucedo	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.2833	1.3001	15.0625	2.1	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Nakaseomyces_glabratus_CBS_138	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	1.0258	1.0334	6.0042	5.7	peak_rss	0.0	0.0	1	8	epyc
v1.9.0-rc1_container	Orbilia_oligospora	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.3286	1.3335	16.5	3.5	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Parastagonospora_nodorum	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.0417	1.0501	13.1656	3.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Phycomyces_blakesleeanus	TRAIN_PREDICT:RNASEQ_PREPARE	1	0	0	0	0	1.7042	1.7001	19.482	2.8	peak_rss	0.0	0.0	1	16	epyc
v1.9.0-rc1_container	Pneumocystis_murina_B123	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	0	0	0	0.8406	0.8501	5.8326	2.6	peak_rss	0.0	0.0	1	8	epyc
