cell	genome	process	n_tasks	n_completed	n_failed	n_aborted	realtime_hours_sum	cpu_hours_sum	peak_rss_gb_max
v1.8.17_conda	-	FETCH_RNASEQ:COLLECT_SRA_QUERY	1	1	0	0	0.0003	0.0002	0.003
v1.8.17_conda	Allomyces_macrogynus_ATCC_38327	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0057	0.0265	0.316
v1.8.17_conda	Allomyces_macrogynus_ATCC_38327	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.3722	2.1615	2.2
v1.8.17_conda	Aspergillus_clavatus_NRRL_1	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2033	0.8936	2.3
v1.8.17_conda	Aspergillus_fumigatus_Af293	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0032	0.0157	0.187
v1.8.17_conda	Aspergillus_fumigatus_Af293	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.3344	1.6813	2.5
v1.8.17_conda	Batrachochytrium_dendrobatidis_JAM81	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0033	0.0126	0.203
v1.8.17_conda	Chaetomium_globosum_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0002	0.0	0.003
v1.8.17_conda	Cokeromyces_recurvatus_NRRL_2243	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0039	0.0159	0.161
v1.8.17_conda	Cryptococcus_deneoformans_JEC21	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0024	0.0101	0.2
v1.8.17_conda	Cryptococcus_neoformans_H99	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.1975	0.8757	1.8
v1.8.17_conda	Cystobasidium_minutum_MCA_4210	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2892	1.104	2.4
v1.8.17_conda	Dactylellina_haptotyla_CBS_200.50	TRAIN_PREDICT:FUNANNOTATE_PREDICT	1	0	1	0	0.0167	0.0	0.0
v1.8.17_conda	Dactylellina_haptotyla_CBS_200.50	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.3742	1.5734	0.349
v1.8.17_conda	Drepanopeziza_brunnea_MB_m1	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0049	0.0259	0.33
v1.8.17_conda	Eremothecium_gossypii_ATCC_10895	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.1586	0.3318	0.026
v1.8.17_conda	Fusarium_oxysporum_4287	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0079	0.0359	0.382
v1.8.17_conda	Kluyveromyces_lactis_NRRL_Y-1140	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0016	0.0064	0.113
v1.8.17_conda	Kluyveromyces_lactis_NRRL_Y-1140	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.0725	0.2704	1.4
v1.8.17_conda	Laccaria_bicolor_S238N-H82	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.4972	2.4533	1.4
v1.8.17_conda	Lachancea_thermotolerans_CBS_6340	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0017	0.0064	0.137
v1.8.17_conda	Leptographium_clavigerum_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	1	1	0	0	0.0001	0.0	0.003
v1.8.17_conda	Leptographium_clavigerum_kw1407	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.4044	1.733	1.7
v1.8.17_conda	Letharia_columbiana_WasteWater2	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.3914	1.9875	1.0
v1.8.17_conda	Malassezia_globosa	FETCH_RNASEQ:SRA_FETCH	6	0	6	0	0.3	0.0	0.0
v1.8.17_conda	Malassezia_sympodialis_ATCC_42132	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0017	0.0049	0.119
v1.8.17_conda	Malassezia_sympodialis_ATCC_42132	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.2147	0.3554	0.026
v1.8.17_conda	Mixia_osmundae_IAM_14324	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2672	0.7768	1.0
v1.8.17_conda	Morchella_importuna_M04M26	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0056	0.0284	0.342
v1.8.17_conda	Morchella_importuna_M04M26	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.3467	1.959	2.1
v1.8.17_conda	Mucor_mucedo_NRRL_3635	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0054	0.0272	0.297
v1.8.17_conda	Mucor_mucedo_NRRL_3635	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.6764	1.597	0.142
v1.8.17_conda	Nakaseomyces_glabratus_CBS_138	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0023	0.007	0.166
v1.8.17_conda	Orbilia_oligospora_ATCC_24927	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0043	0.0212	0.258
v1.8.17_conda	Orbilia_oligospora_ATCC_24927	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.2778	1.2886	2.5
v1.8.17_conda	Parastagonospora_nodorum_SN15	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0047	0.0189	0.272
v1.8.17_conda	Parastagonospora_nodorum_SN15	TRAIN_PREDICT:GENEMARK_RUN	1	1	0	0	0.3414	1.6458	0.405
v1.8.17_conda	Phycomyces_blakesleeanus_NRRL_1555_-	TRAIN_PREDICT:FUNANNOTATE_TRAIN	1	0	0	0	0.0055	0.0294	0.337
v1.8.17_conda	Phycomyces_blakesleeanus_NRRL_1555_-	TRAIN_PREDICT:GENEMARK_RUN	1	0	0	0	0.3197	1.692	2.1
