cell	genome	process	task_name	status	exit	realtime_s	cpu_pct	peak_rss_gb	rss_field	cpu_hours	attempt	cpus	memory_req_gb	queue	hostname	submit	start	complete	trace_file	role
v1.8.17_conda	Nakaseomyces_glabratus_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	FETCH_RNASEQ:SRA_QUERY_BATCH (Nakaseomyces_glabratus_+9_more)	COMPLETED	0	0.42	30.7	0.0033	rss	3.5816666666666665e-05									annotate_trace.20260905_164327.txt	final
v1.8.17_conda	Spizellomyces_punctatus_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	FETCH_RNASEQ:SRA_QUERY_BATCH (Spizellomyces_punctatus_+9_more)	COMPLETED	0	0.28500000000000003	47.9	0.0033	rss	3.792083333333334e-05									annotate_trace.20260905_164327.txt	final
v1.8.17_conda	Leptographium_clavigerum_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	FETCH_RNASEQ:SRA_QUERY_BATCH (Leptographium_clavigerum_+9_more)	COMPLETED	0	0.28500000000000003	45.2	0.0032	rss	3.578333333333334e-05									annotate_trace.20260905_164327.txt	final
v1.8.17_conda	Pneumocystis_murina_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	FETCH_RNASEQ:SRA_QUERY_BATCH (Pneumocystis_murina_+9_more)	COMPLETED	0	0.6880000000000001	17.2	0.0032	rss	3.287111111111111e-05									annotate_trace.20260905_164327.txt	final
v1.8.17_conda	Malassezia_sympodialis_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	FETCH_RNASEQ:SRA_QUERY_BATCH (Malassezia_sympodialis_+9_more)	COMPLETED	0	0.38	35.8	0.0032	rss	3.7788888888888884e-05									annotate_trace.20260905_164327.txt	final
v1.8.17_conda	Wallemia_mellicola_+4_more	FETCH_RNASEQ:SRA_QUERY_BATCH	FETCH_RNASEQ:SRA_QUERY_BATCH (Wallemia_mellicola_+4_more)	COMPLETED	0	0.503	17.1	0.0032	rss	2.3892500000000002e-05									annotate_trace.20260905_164327.txt	final
v1.8.17_conda	Trichosporon_asahii_+9_more	FETCH_RNASEQ:SRA_QUERY_BATCH	FETCH_RNASEQ:SRA_QUERY_BATCH (Trichosporon_asahii_+9_more)	COMPLETED	0	0.644	19.6	0.0031000000000000003	rss	3.506222222222222e-05									annotate_trace.20260905_164327.txt	final
v1.8.17_conda	-	FETCH_RNASEQ:COLLECT_SRA_QUERY	FETCH_RNASEQ:COLLECT_SRA_QUERY	COMPLETED	0	0.749	52.5	0.0032	rss	0.00010922916666666668									annotate_trace.20260905_164327.txt	overhead
v1.8.17_conda	Malassezia_globosa	FETCH_RNASEQ:SRA_FETCH	FETCH_RNASEQ:SRA_FETCH (Malassezia_globosa)	FAILED	1	300.0													annotate_trace.20260905_164327.txt	unresolved
v1.8.17_conda	Malassezia_globosa	FETCH_RNASEQ:SRA_FETCH	FETCH_RNASEQ:SRA_FETCH (Malassezia_globosa)	FAILED	1	180.0													annotate_trace.20260905_164327.txt	unresolved
