cell	genome	process	task_name	status	exit	realtime_s	cpu_pct	peak_rss_gb	rss_field	cpu_hours	attempt	cpus	memory_req_gb	queue	hostname	submit	start	complete	trace_file	role
v1.9.0-rc1_container	-	FETCH_RNASEQ:COLLECT_SRA_QUERY	FETCH_RNASEQ:COLLECT_SRA_QUERY	CACHED	0	0.0	58.9	0.0031000000000000003	peak_rss	0.0	1	1	2.0	short		2026-09-21 17:13:04.115	2026-09-21 17:14:03.251	2026-09-21 17:14:03.254	annotate_trace.20260924_011756.txt	cached
v1.9.0-rc1_container	Rhizopus_microsporus	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Rhizopus_microsporus)	COMPLETED	0	1054.0	909.3	6.8	peak_rss	2.6622283333333336	1	16	52.0	epyc		2026-09-24 01:18:31.179	2026-09-24 01:22:15.780	2026-09-24 01:40:16.069	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Spizellomyces_punctatus_DAOM_BR117	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Spizellomyces_punctatus_DAOM_BR117)	COMPLETED	0	2982.0	642.0	7.3	peak_rss	5.3179	1	8	32.0	epyc		2026-09-24 01:18:21.320	2026-09-24 01:19:15.987	2026-09-24 02:09:16.263	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Cryptococcus_neoformans	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Cryptococcus_neoformans)	COMPLETED	0	2702.0	1293.6	2.2	peak_rss	9.709186666666666	1	16	52.0	epyc		2026-09-24 01:18:37.192	2026-09-24 01:40:16.125	2026-09-24 02:25:16.313	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Rhodotorula_toruloides_NP11	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Rhodotorula_toruloides_NP11)	COMPLETED	0	4307.0	670.1	4.3	peak_rss	8.017001944444445	1	8	32.0	epyc		2026-09-24 01:18:20.873	2026-09-24 01:19:15.766	2026-09-24 02:31:16.261	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Allomyces_macrogynus	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Allomyces_macrogynus)	COMPLETED	0	4402.0	1272.2	2.2	peak_rss	15.55617888888889	1	16	52.0	epyc		2026-09-24 01:18:25.182	2026-09-24 01:19:16.003	2026-09-24 02:33:16.262	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Rhodotorula_graminis_WP1	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Rhodotorula_graminis_WP1)	COMPLETED	0	4856.0	628.6	9.0	peak_rss	8.479115555555556	1	8	32.0	epyc		2026-09-24 01:18:27.185	2026-09-24 01:19:16.039	2026-09-24 02:40:16.316	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Nakaseomyces_glabratus_CBS_138	TRAIN_PREDICT:FUNANNOTATE_PREDICT	TRAIN_PREDICT:FUNANNOTATE_PREDICT (Nakaseomyces_glabratus_CBS_138)	COMPLETED	0	3693.0	585.3	5.7	peak_rss	6.0042025	1	8	32.0	epyc		2026-09-24 01:18:39.184	2026-09-24 01:40:16.146	2026-09-24 02:42:16.378	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Malassezia_globosa	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Malassezia_globosa)	COMPLETED	0	1116.0	1246.1	1.5	peak_rss	3.8629099999999994	1	16	52.0	epyc		2026-09-24 01:18:45.183	2026-09-24 02:23:16.228	2026-09-24 02:42:16.381	annotate_trace.20260924_011756.txt	final
v1.9.0-rc1_container	Cryptococcus_deneoformans	TRAIN_PREDICT:RNASEQ_PREPARE	TRAIN_PREDICT:RNASEQ_PREPARE (Cryptococcus_deneoformans)	COMPLETED	0	2417.0	1199.5	3.1	peak_rss	8.053309722222222	1	16	52.0	epyc		2026-09-24 01:18:43.209	2026-09-24 02:09:16.267	2026-09-24 02:50:16.444	annotate_trace.20260924_011756.txt	final
