species	size_bytes	category	note
Candidozyma_vulturna	0	UNDIAGNOSED_FAILURE	real reads present but 0-transcript assembly, not in either known-exclusion list -- rebuild/debug candidate
Phoma_sp._YAFEF320	0	UNDIAGNOSED_FAILURE	real reads present but 0-transcript assembly, not in either known-exclusion list -- rebuild/debug candidate
Cryptococcus_deneoformans	142	COMPOSITE_HYBRID	composite-parents pointer, not a real assembly attempt
fungal_sp.	0	KNOWN_FORCE_NO_RNASEQ	see rnaseq_force_no_rnaseq.csv
Aaosphaeria_pasadenensis	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Absidia_cylindrospora	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Absidia_glauca	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Absidia_healeyae	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Absidia_sp._UoMAU379	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Absidia_sp._YW-2025a	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Absidia_sp._YW-2025b	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Acanthothecis_fontana	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Acarospora_aff._strigata	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Acarospora_sp._Tripp_6053_NY-2858381	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Acaulopage_tetraceros	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Acaulospora_colombiana	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Achaetomiella_virescens	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Achaetomium_macrosporum	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Aciculoconidium_aculeatum	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Aciculosporium_take	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Acidiella_bohemica	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Acremonium_polychromum	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Acremonium_sp._FKII-L8-BK-P5	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Actinomucor_elegans	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Aeminium_ludgeri	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Afroboletus_lepidellus	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
Agaricales_sp._HM26-F1	0	NO_READS_FOUND	no non-trivial read file in rnaseq_reads/ or rnaseq_normalized/
