SPECIES,STRAIN,ASMID,LOCUSTAG,BUSCO_LINEAGE,TRANSL_TABLE,NCBI_TAXONID,GENOME
Allomyces macrogynus,ATCC 38327,GCA_000151295.1,ALLMAC,fungi_odb10,1,578462,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCA_000151295.1_A_macrogynus_V3.masked.fasta.gz
Spizellomyces punctatus,DAOM BR117,GCF_000182565.1,SPIPUN,fungi_odb10,1,645134,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000182565.1_S_punctatus_V1.masked.fasta.gz
Rhizopus delemar,RA 99-880,GCF_000149305.1,RHIDEL,mucorales_odb10,1,246409,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000149305.1_RO3.masked.fasta.gz
Phycomyces blakesleeanus,NRRL 1555 -,GCF_001638985.1,PHYBLA,mucorales_odb10,1,763407,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_001638985.1_Phybl2.masked.fasta.gz
Rhizopus microsporus,ATCC 52813,GCF_002708625.1,RHIMIC,mucorales_odb10,1,1340429,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_002708625.1_Rhimi1_1.masked.fasta.gz
Cryptococcus deneoformans,JEC21,GCF_000091045.1,CRYDEN,tremellomycetes_odb10,1,214684,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000091045.1_ASM9104v1.masked.fasta.gz
Cryptococcus neoformans,H99,GCF_000149245.1,CRYNEO,tremellomycetes_odb10,1,235443,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000149245.1_CNA3.masked.fasta.gz
Rhodotorula toruloides,NP11,GCF_000320785.1,RHOTOR,basidiomycota_odb10,1,1130832,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000320785.1_RHOziaDV1.0.masked.fasta.gz
Malassezia globosa,CBS 7966,GCF_000181695.2,MALGLO,basidiomycota_odb10,1,425265,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_000181695.2_ASM18169v2.masked.fasta.gz
Rhodotorula graminis,WP1,GCF_001329695.1,RHOGRA,basidiomycota_odb10,1,578459,/bigdata/stajichlab/shared/projects/BFD/Funannotate_benchmarking/input_clean_genomes/GCF_001329695.1_Rhoba1_1.masked.fasta.gz
