accession,species,strain,taxid,bioproject,genus,phylum,subphylum,class,order,genome_size_mb,assembly_level,refseq_annotation_release,busco_lineage_used,rnaseq_available,rnaseq_sra_ids,ncbi_current_accession,paired_accession,asm_name,n50,selected_date,status
GCA_000151295.1,Allomyces macrogynus,ATCC 38327,578462,PRJNA167910;PRJNA176382;PRJNA20563;PRJNA71873,Allomyces,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Blastocladiales,57.1,Scaffold,legacy,fungi_odb10,yes,"SRR343050,SRR343045,SRR343056",GCA_000151295.1,,A_macrogynus_V3,1114524,2026-08-30,selected
GCF_000149245.1,Cryptococcus neoformans,H99,235443,PRJNA411,Cryptococcus,Basidiomycota,Agaricomycotina,Tremellomycetes,Tremellales,18.9,Chromosome,legacy,tremellomycetes_odb10,no,,GCF_000149245.1,GCA_000149245.3,CNA3,1422463,2026-08-30,selected
GCF_000320785.1,Rhodotorula toruloides,NP11,1130832,PRJNA169538,Rhodotorula,Basidiomycota,Pucciniomycotina,Microbotryomycetes,Sporidiobolales,20.2,Scaffold,legacy,basidiomycota_odb10,yes,"SRR31947201,SRR31947212,SRR8733521,SRR31947211,SRR31947205",GCF_000320785.1,GCA_000320785.2,RHOziaDV1.0,574942,2026-08-30,selected
GCF_000181695.2,Malassezia globosa,CBS 7966,425265,PRJNA1071990,Malassezia,Basidiomycota,Ustilaginomycotina,Malasseziomycetes,Malasseziales,9.0,Contig,legacy,basidiomycota_odb10,yes,"SRR27830013,SRR27830002,SRR27830007,SRR27830015,SRR27830014",GCF_000181695.2,GCA_000181695.2,ASM18169v2,654612,2026-08-30,selected
GCF_000002525.2,Yarrowia lipolytica,CLIB122,284591,PRJNA13837,Yarrowia,Ascomycota,Saccharomycotina,Dipodascomycetes,Dipodascales,20.5,Chromosome,legacy,saccharomycetes_odb10,yes,"SRR10101929,SRR9021312,SRR8131643,SRR10101927,SRR10101921",GCF_000002525.2,GCA_000002525.1,ASM252v1,3633272,2026-08-30,selected
GCF_003144115.1,Tilletiopsis washingtonensis,MCA 4186,58919,PRJNA247833,Tilletiopsis,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Entylomatales,18.8,Scaffold,legacy,basidiomycota_odb10,yes,SRR4125823,GCF_003144115.1,GCA_003144115.1,Tilwa1,728438,2026-08-30,selected
GCF_000143185.2,Schizophyllum commune,H4-8,578458,PRJNA32757,Schizophyllum,Basidiomycota,Agaricomycotina,Agaricomycetes,Agaricales,38.7,Scaffold,legacy,agaricomycetes_odb10,yes,"SRR28726911,SRR28726918,SRR28726920,SRR8448303,SRR28726913",GCF_000143185.2,GCA_000143185.2,Schco3,2560162,2026-08-30,selected
GCF_000002655.1,Aspergillus fumigatus,Af293,330879,PRJNA131,Aspergillus,Ascomycota,Pezizomycotina,Eurotiomycetes,Eurotiales,29.4,Chromosome,legacy,eurotiomycetes_odb10,yes,"SRR32807562,DRR640324,SRR9609643,SRR9609648,SRR32807548",GCF_000002655.1,GCA_000002655.1,ASM265v1,3948441,2026-08-30,selected
GCF_000143535.2,Botrytis cinerea,B05.10,332648,PRJNA15632,Botrytis,Ascomycota,Pezizomycotina,Leotiomycetes,Helotiales,42.6,Complete Genome,legacy,leotiomycetes_odb10,yes,"SRR36445524,SRR11783507,SRR11783498,SRR32993890,SRR11783500",GCF_000143535.2,GCA_000143535.4,ASM14353v4,2617329,2026-08-30,selected
GCF_000026365.1,Zygosaccharomyces rouxii,CBS 732,4956,PRJNA12502,Zygosaccharomyces,Ascomycota,Saccharomycotina,Saccharomycetes,Saccharomycetales,9.8,Chromosome,legacy,saccharomycetes_odb10,yes,"SRR17438069,DRR297970,SRR6821101,DRR297969,SRR24693007",GCF_000026365.1,GCA_000026365.1,ASM2636v1,1496342,2026-08-30,selected
