accession,species,strain,taxid,bioproject,genus,phylum,subphylum,class,order,genome_size_mb,assembly_level,refseq_annotation_release,busco_lineage_used,rnaseq_available,rnaseq_sra_ids,ncbi_current_accession,paired_accession,asm_name,n50,selected_date,status
GCA_000151295.1,Allomyces macrogynus,ATCC 38327,578462,PRJNA167910;PRJNA176382;PRJNA20563;PRJNA71873,Allomyces,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Blastocladiales,57.1,Scaffold,legacy,fungi_odb10,yes,"SRR343050,SRR343045,SRR343056",GCA_000151295.1,,A_macrogynus_V3,1114524,2026-08-30,selected
GCF_000182565.1,Spizellomyces punctatus,DAOM BR117,645134,PRJNA167910;PRJNA37881;PRJNA71873,Spizellomyces,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Spizellomycetales,24.1,Scaffold,legacy,fungi_odb10,yes,SRR343043,GCF_000182565.1,GCA_000182565.2,S_punctatus_V1,1465700,2026-08-30,selected
GCF_000149305.1,Rhizopus delemar,RA 99-880,246409,PRJNA13066,Rhizopus,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,46.1,Scaffold,legacy,mucorales_odb10,yes,"SRR6367516,SRR6854542,SRR6854544,SRR6854541,SRR6854543",GCF_000149305.1,GCA_000149305.1,RO3,3104119,2026-08-30,selected
GCF_001638985.1,Phycomyces blakesleeanus,NRRL 1555 -,763407,PRJNA61391,Phycomyces,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,53.9,Scaffold,legacy,mucorales_odb10,yes,"SRR35106293,SRR10402501,SRR9002717",GCF_001638985.1,GCA_001638985.2,Phybl2,1515579,2026-08-30,selected
GCF_002708625.1,Rhizopus microsporus,ATCC 52813,1340429,PRJNA205957,Rhizopus,Mucoromycota,Mucoromycotina,Mucoromycetes,Mucorales,26.0,Scaffold,legacy,mucorales_odb10,yes,"SRR28594504,SRR34862858,SRR1286007,SRR32343042,SRR32343040",GCF_002708625.1,GCA_002708625.1,Rhimi1_1,1118338,2026-08-30,selected
GCF_000091045.1,Cryptococcus deneoformans,JEC21,214684,PRJNA13856,Cryptococcus,Basidiomycota,Agaricomycotina,Tremellomycetes,Tremellales,19.1,Chromosome,legacy,tremellomycetes_odb10,yes,"SRR9627151,SRR9627119,SRR9627159,SRR9627111,SRR9627167",GCF_000091045.1,GCA_000091045.1,ASM9104v1,1438950,2026-08-30,selected
GCF_000149245.1,Cryptococcus neoformans,H99,235443,PRJNA411,Cryptococcus,Basidiomycota,Agaricomycotina,Tremellomycetes,Tremellales,18.9,Chromosome,legacy,tremellomycetes_odb10,no,,GCF_000149245.1,GCA_000149245.3,CNA3,1422463,2026-08-30,selected
GCF_000320785.1,Rhodotorula toruloides,NP11,1130832,PRJNA1132283,Rhodotorula,Basidiomycota,Pucciniomycotina,Microbotryomycetes,Sporidiobolales,20.2,Scaffold,legacy,basidiomycota_odb10,yes,"SRR29721378,SRR29721379",GCF_000320785.1,GCA_000320785.2,RHOziaDV1.0,574942,2026-08-30,selected
GCF_000181695.2,Malassezia globosa,CBS 7966,425265,PRJNA1071990,Malassezia,Basidiomycota,Ustilaginomycotina,Malasseziomycetes,Malasseziales,9.0,Contig,legacy,basidiomycota_odb10,yes,"SRR27830013,SRR27830002",GCF_000181695.2,GCA_000181695.2,ASM18169v2,654612,2026-08-30,selected
GCF_001329695.1,Rhodotorula graminis,WP1,578459,PRJNA32711,Rhodotorula,Basidiomycota,Pucciniomycotina,Microbotryomycetes,Sporidiobolales,21.0,Scaffold,legacy,basidiomycota_odb10,no,,GCF_001329695.1,GCA_001329695.1,Rhoba1_1,1420730,2026-08-30,selected
