cell	genome	status	n_tasks	n_failed	n_aborted	n_superseded	n_unresolved	task_time_hours_sum	wall_clock_hours	cpu_hours_sum	peak_rss_gb_max	rss_field	overhead_task_time_hours_sum	overhead_cpu_hours_sum	attempts	cpus	queues	accession	phylum	genome_size_mb	cpu_hours_per_mb	task_time_hours_per_mb
v1.9.0-rc1_container	Allomyces_macrogynus	success	1	0	0	0	0	1.2228	1.2334	15.5562	2.2	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Aspergillus_clavatus_NRRL_1	success	1	0	0	0	0	1.7225	1.7168	11.5563	11.2	peak_rss	0.0	0.0	1	8	epyc	GCF_000002715.2	Ascomycota	27.9	0.4142	0.06174
v1.9.0-rc1_container	Aspergillus_fumigatus	success	1	0	0	0	0	1.0053	1.0001	12.9691	3.9	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Blastomyces_dermatitidis_ER-3	success	1	0	0	0	0	1.6811	1.7001	10.7793	23.2	peak_rss	0.0	0.0	1	8	epyc	GCF_000003525.1	Ascomycota	66.6	0.16185	0.02524
v1.9.0-rc1_container	Botrytis_cinerea	success	1	0	0	0	0	1.4122	1.4168	17.8787	2.6	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Chaetomium_globosum	success	1	0	0	0	0	1.5128	1.5168	18.701	2.8	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Cryptococcus_deneoformans	success	1	0	0	0	0	0.6714	0.6834	8.0533	3.1	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Cryptococcus_neoformans	success	1	0	0	0	0	0.7506	0.7501	9.7092	2.2	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Cystobasidium_minutum_MCA_4210	success	1	0	0	0	0	1.4225	1.4167	8.3145	12.3	peak_rss	0.0	0.0	1	8	epyc	GCF_039999085.1	Basidiomycota	20.8	0.39974	0.06839
v1.9.0-rc1_container	Dactylellina_haptotyla_CBS_200.50	success	1	0	0	0	0	1.0658	1.0668	6.2053	2.6	peak_rss	0.0	0.0	1	8	epyc	GCF_000441935.1	Ascomycota	39.5	0.1571	0.02698
v1.9.0-rc1_container	Eremothecium_gossypii_ATCC_10895	success	1	0	0	0	0	2.9428	2.9503	8.6694	3.3	peak_rss	0.0	0.0	1	8	epyc	GCF_000091025.4	Ascomycota	9.1	0.95268	0.32338
v1.9.0-rc1_container	Gaeumannomyces_tritici	success	1	0	0	0	0	1.4056	1.4168	17.0719	2.6	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Kluyveromyces_lactis	success	1	0	0	0	0	0.255	0.2667	3.0886	4.7	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Laccaria_bicolor_S238N-H82	success	1	0	0	0	0	2.4764	2.4836	15.9653	6.9	peak_rss	0.0	0.0	1	8	epyc	GCF_000143565.1	Basidiomycota	64.9	0.246	0.03816
v1.9.0-rc1_container	Leptographium_clavigerum_kw1407	success	1	0	0	0	0	1.8281	1.8335	11.2901	6.5	peak_rss	0.0	0.0	1	8	epyc	GCF_000143105.1	Ascomycota	29.8	0.37886	0.06134
v1.9.0-rc1_container	Letharia_columbiana_WasteWater2	success	1	0	0	0	0	1.2486	1.2501	7.7002	4.3	peak_rss	0.0	0.0	1	8	epyc	GCF_014066305.1	Ascomycota	52.3	0.14723	0.02387
v1.9.0-rc1_container	Lipomyces_tetrasporus	success	1	0	0	0	0	1.1875	1.2001	15.3093	3.0	peak_rss	0.0	0.0	1	16	epyc					
v1.9.0-rc1_container	Malassezia_globosa	success	1	0	0	0	0	0.31	0.3167	3.8629	1.5	peak_rss	0.0	0.0	1	16	epyc					
