cell	genome	status	n_tasks	n_completed	n_failed	n_aborted	task_time_hours_sum	cpu_hours_sum	peak_rss_gb_max	accession	phylum	genome_size_mb	cpu_hours_per_mb	task_time_hours_per_mb
v1.8.17_conda	-	success	1	1	0	0	0.0003	0.0002	0.003					
v1.8.17_conda	Allomyces_macrogynus_ATCC_38327	success	2	0	0	0	0.378	2.188	2.2	GCA_000151295.1	Blastocladiomycota	57.1	0.03832	0.00662
v1.8.17_conda	Aspergillus_clavatus_NRRL_1	success	1	0	0	0	0.2033	0.8936	2.3	GCF_000002715.2	Ascomycota	27.9	0.03203	0.00729
v1.8.17_conda	Aspergillus_fumigatus_Af293	success	2	0	0	0	0.3377	1.6969	2.5	GCF_000002655.1	Ascomycota	29.4	0.05772	0.01149
v1.8.17_conda	Batrachochytrium_dendrobatidis_JAM81	success	1	0	0	0	0.0033	0.0126	0.203	GCF_000203795.2	Chytridiomycota	23.8	0.00053	0.00014
v1.8.17_conda	Chaetomium_globosum_+9_more	success	1	1	0	0	0.0002	0.0	0.003					
v1.8.17_conda	Cokeromyces_recurvatus_NRRL_2243	success	1	0	0	0	0.0039	0.0159	0.161	GCF_025118155.1	Mucoromycota	28.1	0.00057	0.00014
v1.8.17_conda	Cryptococcus_deneoformans_JEC21	success	1	0	0	0	0.0024	0.0101	0.2	GCF_000091045.1	Basidiomycota	19.1	0.00053	0.00013
v1.8.17_conda	Cryptococcus_neoformans_H99	success	1	0	0	0	0.1975	0.8757	1.8	GCF_000149245.1	Basidiomycota	18.9	0.04633	0.01045
v1.8.17_conda	Cystobasidium_minutum_MCA_4210	success	1	0	0	0	0.2892	1.104	2.4	GCF_039999085.1	Basidiomycota	20.8	0.05308	0.0139
v1.8.17_conda	Dactylellina_haptotyla_CBS_200.50	failed	2	0	1	0	0.3908	1.5734	0.349	GCF_000441935.1	Ascomycota	39.5	0.03983	0.00989
v1.8.17_conda	Drepanopeziza_brunnea_MB_m1	success	1	0	0	0	0.0049	0.0259	0.33	GCF_000298775.1	Ascomycota	51.9	0.0005	9e-05
v1.8.17_conda	Eremothecium_gossypii_ATCC_10895	success	1	1	0	0	0.1586	0.3318	0.026	GCF_000091025.4	Ascomycota	9.1	0.03646	0.01743
v1.8.17_conda	Fusarium_oxysporum_4287	success	1	0	0	0	0.0079	0.0359	0.382	GCF_000149955.1	Ascomycota	61.4	0.00058	0.00013
v1.8.17_conda	Kluyveromyces_lactis_NRRL_Y-1140	success	2	1	0	0	0.0741	0.2768	1.4	GCF_000002515.2	Ascomycota	10.7	0.02587	0.00693
v1.8.17_conda	Laccaria_bicolor_S238N-H82	success	1	0	0	0	0.4972	2.4533	1.4	GCF_000143565.1	Basidiomycota	64.9	0.0378	0.00766
v1.8.17_conda	Lachancea_thermotolerans_CBS_6340	success	1	0	0	0	0.0017	0.0064	0.137	GCF_000142805.1	Ascomycota	10.4	0.00061	0.00016
v1.8.17_conda	Leptographium_clavigerum_+9_more	success	1	1	0	0	0.0001	0.0	0.003					
v1.8.17_conda	Leptographium_clavigerum_kw1407	success	1	0	0	0	0.4044	1.733	1.7	GCF_000143105.1	Ascomycota	29.8	0.05816	0.01357
v1.8.17_conda	Letharia_columbiana_WasteWater2	success	1	0	0	0	0.3914	1.9875	1.0	GCF_014066305.1	Ascomycota	52.3	0.038	0.00748
v1.8.17_conda	Malassezia_globosa	failed	6	0	6	0	0.3	0.0	0.0					
v1.8.17_conda	Malassezia_sympodialis_ATCC_42132	success	2	1	0	0	0.2164	0.3603	0.119	GCF_000349305.1	Basidiomycota	7.7	0.04679	0.02811
v1.8.17_conda	Mixia_osmundae_IAM_14324	success	1	0	0	0	0.2672	0.7768	1.0	GCF_000708205.1	Basidiomycota	13.6	0.05712	0.01965
v1.8.17_conda	Morchella_importuna_M04M26	success	2	1	0	0	0.3522	1.9874	2.1	GCF_003444635.1	Ascomycota	50.9	0.03904	0.00692
v1.8.17_conda	Mucor_mucedo_NRRL_3635	success	2	0	0	0	0.6818	1.6242	0.297	GCF_025094135.1	Mucoromycota	46.1	0.03523	0.01479
v1.8.17_conda	Nakaseomyces_glabratus_CBS_138	success	1	0	0	0	0.0023	0.007	0.166	GCF_000002545.3	Ascomycota	12.3	0.00057	0.00019
v1.8.17_conda	Orbilia_oligospora_ATCC_24927	success	2	0	0	0	0.2821	1.3098	2.5	GCF_000225545.1	Ascomycota	40.1	0.03266	0.00703
v1.8.17_conda	Parastagonospora_nodorum_SN15	success	2	1	0	0	0.3461	1.6648	0.405	GCF_000146915.1	Ascomycota	37.2	0.04475	0.0093
v1.8.17_conda	Phycomyces_blakesleeanus_NRRL_1555_-	success	2	0	0	0	0.3253	1.7214	2.1	GCF_001638985.1	Mucoromycota	53.9	0.03194	0.00603
v1.8.17_conda	Pneumocystis_murina_B123	success	1	0	0	0	0.0997	0.2258	0.51	GCF_000349005.2	Ascomycota	7.5	0.0301	0.0133
v1.8.17_conda	Protomyces_lactucae-debilis_12-1054	success	2	0	0	0	0.126	0.7363	1.008	GCF_002105105.1	Ascomycota	12.9	0.05708	0.00977
v1.8.17_conda	Pyrenophora_teres_0-1	success	1	0	0	0	0.0053	0.016	0.245	GCF_000166005.1	Ascomycota	33.6	0.00048	0.00016
v1.8.17_conda	Pyrenophora_tritici-repentis_Pt-1C-BFP	success	2	1	0	0	0.3407	1.5999	0.739	GCF_000149985.1	Ascomycota	37.8	0.04233	0.00901
v1.8.17_conda	Pyricularia_oryzae_70-15	success	1	0	0	0	0.0046	0.0254	0.287	GCF_000002495.2	Ascomycota	41.0	0.00062	0.00011
v1.8.17_conda	Rhizopus_delemar_+9_more	success	1	1	0	0	0.0001	0.0	0.003					
