cell	genome	accession	phylum	refseq_annotation_release	query_gff3	query_gene_count	ref_gff3	ref_gene_count	gffcompare_base_level_sensitivity	gffcompare_base_level_precision	gffcompare_exon_level_sensitivity	gffcompare_exon_level_precision	gffcompare_intron_level_sensitivity	gffcompare_intron_level_precision	gffcompare_intron_chain_level_sensitivity	gffcompare_intron_chain_level_precision	gffcompare_transcript_level_sensitivity	gffcompare_transcript_level_precision	gffcompare_locus_level_sensitivity	gffcompare_locus_level_precision	gffcompare_missed_exons_pct	gffcompare_novel_exons_pct	gffcompare_missed_introns_pct	gffcompare_novel_introns_pct	gffcompare_missed_loci_pct	gffcompare_novel_loci_pct	overlap_query_genes	overlap_ref_genes	overlap_query_genes_overlapping_ref	overlap_query_genes_overlap_same_strand	overlap_query_genes_overlap_opposite_strand	overlap_query_genes_no_overlap	overlap_ref_genes_not_recovered	compare_status
v1.8.17_conda	Allomyces_macrogynus_ATCC_38327	GCA_000151295.1	Blastocladiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Allomyces_macrogynus_ATCC_38327/predict_results/Allomyces_macrogynus_ATCC_38327.gff3	17241	results/reference_annotations/.cache/GCA_000151295.1_A_macrogynus_V3_genomic.gff	19266	76.0	95.3	50.5	51.4	72.7	70.5	39.9	41.8	37.8	43.8	39.1	43.8	13.3	8.9	12.2	16.3	8.9	4.1	17241	19266	16629	16540	819	612	1554	compared
v1.8.17_conda	Aspergillus_clavatus_NRRL_1	GCF_000002715.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Aspergillus_clavatus_NRRL_1/predict_results/Aspergillus_clavatus_NRRL_1.gff3	8980	results/reference_annotations/.cache/GCF_000002715.2_ASM271v1_genomic.gff	9352	96.0	98.3	81.0	82.5	83.8	84.4	65.8	66.2	67.4	70.2	67.4	70.2	7.2	4.3	8.0	6.8	5.6	1.4	8980	9352	8877	8853	30	103	501	compared
v1.8.17_conda	Aspergillus_fumigatus_Af293	GCF_000002655.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Aspergillus_fumigatus_Af293/predict_results/Aspergillus_fumigatus_Af293.gff3	9574	results/reference_annotations/.cache/GCF_000002655.1_ASM265v1_genomic.gff	10085	73.6	97.5	51.3	55.6	74.4	81.8	51.1	54.3	51.3	54.0	51.4	54.0	14.1	5.5	17.9	9.4	8.3	3.0	9574	10085	9382	9286	181	192	748	compared
v1.8.17_conda	Batrachochytrium_dendrobatidis_JAM81	GCF_000203795.2	Chytridiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Batrachochytrium_dendrobatidis_JAM81/predict_results/Batrachochytrium_dendrobatidis_JAM81.gff3	7512	results/reference_annotations/.cache/GCF_000203795.2_v1.1_genomic.gff	8386	85.9	84.6	66.7	64.6	77.0	71.8	33.0	34.1	34.1	38.1	34.2	38.1	10.7	13.1	9.7	15.9	11.0	4.8	7512	8386	7257	7161	213	255	852	compared
v1.8.17_conda	Blastomyces_dermatitidis_ER-3	GCF_000003525.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Blastomyces_dermatitidis_ER-3/predict_results/Blastomyces_dermatitidis_ER-3.gff3	8440	results/reference_annotations/.cache/GCF_000003525.1_BD_ER3_V1_genomic.gff	9886	53.1	97.7	36.0	49.2	65.1	86.0	39.5	54.6	35.4	49.7	41.8	49.7	23.6	3.8	26.3	5.2	20.3	3.4	8440	9886	8235	8137	1797	205	1734	compared
v1.8.17_conda	Chaetomium_globosum_CBS_148.51	GCF_000143365.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Chaetomium_globosum_CBS_148.51/predict_results/Chaetomium_globosum_CBS_148.51.gff3	10423	results/reference_annotations/.cache/GCF_000143365.1_ASM14336v1_genomic.gff	11222	83.0	93.3	50.0	55.5	51.5	58.0	30.4	33.1	34.9	37.6	34.9	37.6	22.8	11.4	27.2	15.6	14.6	4.5	10423	11222	10117	9960	224	306	1512	compared
v1.8.17_conda	Cokeromyces_recurvatus_NRRL_2243	GCF_025118155.1	Mucoromycota	legacy	runs/v1.8.17_conda/genome_annotation/Cokeromyces_recurvatus_NRRL_2243/predict_results/Cokeromyces_recurvatus_NRRL_2243.gff3	9805	results/reference_annotations/.cache/GCF_025118155.1_Cokrec1_genomic.gff	11064	83.8	91.4	62.0	56.2	79.3	67.6	33.0	34.8	31.9	36.0	33.1	36.0	9.8	14.7	9.9	21.7	10.6	6.0	9805	11064	9285	9220	578	520	1001	compared
v1.8.17_conda	Colletotrichum_graminicola_M1.001	GCF_000149035.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Colletotrichum_graminicola_M1.001/predict_results/Colletotrichum_graminicola_M1.001.gff3	11151	results/reference_annotations/.cache/GCF_000149035.1_C_graminicola_M1_001_V1_genomic.gff	12398	92.1	98.3	76.8	82.7	80.0	84.5	67.0	68.8	66.2	73.6	66.2	73.6	11.7	3.3	12.1	7.6	10.3	0.9	11151	12398	11077	11056	39	74	1244	compared
v1.8.17_conda	Cryptococcus_deneoformans_JEC21	GCF_000091045.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Cryptococcus_deneoformans_JEC21/predict_results/Cryptococcus_deneoformans_JEC21.gff3	6740	results/reference_annotations/.cache/GCF_000091045.1_ASM9104v1_genomic.gff	6766	77.2	97.9	68.4	74.8	83.6	92.6	49.5	52.4	50.2	52.1	51.9	52.1	9.9	2.0	11.0	2.4	4.3	3.1	6740	6766	6553	6527	622	187	244	compared
v1.8.17_conda	Cryptococcus_neoformans_H99	GCF_000149245.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Cryptococcus_neoformans_H99/predict_results/Cryptococcus_neoformans_H99.gff3	6759	results/reference_annotations/.cache/GCF_000149245.1_CNA3_genomic.gff	8334	66.3	99.0	59.0	71.7	78.0	93.4	39.6	52.3	38.4	52.3	42.4	52.3	16.7	0.7	16.4	1.3	19.8	0.6	6759	8334	6732	6720	1695	27	1052	compared
