cell	genome	accession	phylum	refseq_annotation_release	query_gff3	query_gene_count	busco_complete_pct	busco_single_pct	busco_duplicated_pct	busco_fragmented_pct	busco_missing_pct	busco_n	ref_gff3	ref_gene_count	gffcompare_base_level_sensitivity	gffcompare_base_level_precision	gffcompare_exon_level_sensitivity	gffcompare_exon_level_precision	gffcompare_intron_level_sensitivity	gffcompare_intron_level_precision	gffcompare_intron_chain_level_sensitivity	gffcompare_intron_chain_level_precision	gffcompare_transcript_level_sensitivity	gffcompare_transcript_level_precision	gffcompare_locus_level_sensitivity	gffcompare_locus_level_precision	gffcompare_missed_exons_pct	gffcompare_novel_exons_pct	gffcompare_missed_introns_pct	gffcompare_novel_introns_pct	gffcompare_missed_loci_pct	gffcompare_novel_loci_pct	overlap_query_genes	overlap_ref_genes	overlap_query_genes_overlapping_ref	overlap_query_genes_overlap_same_strand	overlap_query_genes_overlap_opposite_strand	overlap_query_genes_no_overlap	overlap_ref_genes_not_recovered	compare_status
v1.8.17_conda	Allomyces_macrogynus_ATCC_38327	GCA_000151295.1	Blastocladiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Allomyces_macrogynus_ATCC_38327/predict_results/Allomyces_macrogynus_ATCC_38327.gff3	17906	85.4	27.3	58.0	2.6	12.0	758	results/reference_annotations/.cache/GCA_000151295.1_A_macrogynus_V3_genomic.gff	19266	76.4	96.2	55.0	57.4	78.1	79.6	53.0	54.1	48.6	54.1	50.3	54.1	12.4	6.6	13.1	11.8	9.3	3.7	17906	19266	17332	17248	745	574	1681	compared
v1.8.17_conda	Aspergillus_fumigatus_Af293	GCF_000002655.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Aspergillus_fumigatus_Af293/predict_results/Aspergillus_fumigatus_Af293.gff3	10118	95.9	95.6	0.2	2.2	1.9	3546	results/reference_annotations/.cache/GCF_000002655.1_ASM265v1_genomic.gff	10085	73.5	96.9	51.9	54.8	76.3	83.0	53.7	55.6	52.4	52.2	52.5	52.2	13.6	6.7	18.6	10.6	7.0	5.3	10118	10085	9733	9579	249	385	613	compared
v1.8.17_conda	Batrachochytrium_dendrobatidis_JAM81	GCF_000203795.2	Chytridiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Batrachochytrium_dendrobatidis_JAM81/predict_results/Batrachochytrium_dendrobatidis_JAM81.gff3	8347	90.0	88.5	1.5	2.4	7.7	758	results/reference_annotations/.cache/GCF_000203795.2_v1.1_genomic.gff	8386	90.8	83.9	72.5	68.0	83.0	76.4	44.3	42.6	44.6	44.8	44.6	44.8	7.2	13.5	9.0	15.0	6.0	6.3	8347	8386	7951	7840	224	396	434	compared
v1.8.17_conda	Botrytis_cinerea_B05.10	GCF_000143535.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Botrytis_cinerea_B05.10/predict_results/Botrytis_cinerea_B05.10.gff3	12424	98.7	98.7	0.0	0.8	0.5	3234	results/reference_annotations/.cache/GCF_000143535.2_ASM14353v4_genomic.gff	11698	69.7	97.7	40.5	44.2	83.5	93.2	65.0	76.5	57.5	63.4	67.3	63.4	8.8	3.8	13.2	4.8	3.2	6.8	12424	11698	11660	11580	140	764	341	compared
v1.8.17_conda	Chaetomium_globosum_CBS_148.51	GCF_000143365.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Chaetomium_globosum_CBS_148.51/predict_results/Chaetomium_globosum_CBS_148.51.gff3	11567	83.0	82.8	0.1	9.8	7.2	3817	results/reference_annotations/.cache/GCF_000143365.1_ASM14336v1_genomic.gff	11222	82.8	91.3	48.9	54.4	50.7	60.6	30.9	33.4	35.8	34.7	35.8	34.7	23.1	13.3	32.1	15.2	13.2	8.3	11567	11222	10847	10615	281	720	1328	compared
v1.8.17_conda	Cryptococcus_neoformans_H99	GCF_000149245.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Cryptococcus_neoformans_H99/predict_results/Cryptococcus_neoformans_H99.gff3	7118	96.8	96.8	0.1	1.8	1.4	4284	results/reference_annotations/.cache/GCF_000149245.1_CNA3_genomic.gff	8334	67.9	99.1	64.1	75.1	84.4	97.7	53.2	68.3	51.1	65.9	56.3	65.9	13.7	0.7	13.8	0.9	17.1	0.9	7118	8334	7075	7054	1799	43	833	compared
v1.8.17_conda	Fusarium_verticillioides_7600	GCF_000149555.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Fusarium_verticillioides_7600/predict_results/Fusarium_verticillioides_7600.gff3	15276	97.5	97.3	0.2	1.7	0.9	3817	results/reference_annotations/.cache/GCF_000149555.1_ASM14955v1_genomic.gff	16286	70.2	98.3	47.5	59.0	77.7	90.9	51.8	75.7	50.7	69.6	65.4	69.6	14.1	2.8	18.7	5.9	8.9	2.0	15276	16286	15063	14968	1951	213	1287	compared
v1.8.17_conda	Malassezia_globosa_CBS_7966	GCF_000181695.2	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Malassezia_globosa_CBS_7966/predict_results/Malassezia_globosa_CBS_7966.gff3	4410	82.3	82.2	0.1	4.3	13.5	1764	results/reference_annotations/.cache/GCF_000181695.2_ASM18169v2_genomic.gff	4278	94.7	89.4	49.9	36.9	64.2	31.9	37.6	17.4	46.4	45.0	46.4	45.0	9.1	26.9	24.3	60.7	4.8	10.3	4410	4278	3987	3956	97	423	160	compared
v1.8.17_conda	Malassezia_globosa_CBS_7966.stale_shallow_rnaseq_20260919																																							no_samples_row
v1.8.17_conda	Pneumocystis_murina_B123	GCF_000349005.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Pneumocystis_murina_B123/predict_results/Pneumocystis_murina_B123.gff3	3211	66.6	66.6	0.1	3.2	30.2	1706	results/reference_annotations/.cache/GCF_000349005.2_Pneumo_murina_B123_V4_genomic.gff	3675	87.8	98.6	71.7	69.5	81.9	77.1	31.6	35.6	32.6	37.3	32.7	37.3	8.9	5.6	8.5	13.9	8.5	0.6	3211	3675	3202	3192	239	9	250	compared
v1.8.17_conda	Rhodotorula_toruloides_NP11.stale_rnaseq_20260920																																							no_samples_row
v1.8.17_conda	Saccharomyces_cerevisiae_S288C	GCF_000146045.2	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Saccharomyces_cerevisiae_S288C/predict_results/Saccharomyces_cerevisiae_S288C.gff3	5687	97.5	95.4	2.2	0.6	1.9	2137	results/reference_annotations/.cache/GCF_000146045.2_R64_genomic.gff	6459	92.6	99.7	80.8	91.8	53.5	58.4	53.9	56.6	83.4	95.0	84.8	95.0	12.5	0.9	42.6	37.3	10.6	0.3	5687	6459	5665	5659	63	22	677	compared
v1.8.17_conda	Schizophyllum_commune_H4-8	GCF_000143185.2	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Schizophyllum_commune_H4-8/predict_results/Schizophyllum_commune_H4-8.gff3	12366	88.1	87.2	0.9	4.7	7.2	2898	results/reference_annotations/.cache/GCF_000143185.2_Schco3_genomic.gff	16466	63.1	94.6	53.6	67.6	68.9	85.7	33.3	39.7	30.4	40.5	31.6	40.5	25.4	4.2	25.5	7.2	26.6	2.1	12366	16466	12202	12120	773	164	4267	compared
