genome	ours_gff3	fungi_bfd_gff3	ours_gene_count	fungi_bfd_gene_count	gene_count_delta_pct	busco_complete_pct_delta	gffcompare_base_level_sensitivity	gffcompare_base_level_precision	gffcompare_exon_level_sensitivity	gffcompare_exon_level_precision	gffcompare_intron_level_sensitivity	gffcompare_intron_level_precision	gffcompare_intron_chain_level_sensitivity	gffcompare_intron_chain_level_precision	gffcompare_transcript_level_sensitivity	gffcompare_transcript_level_precision	gffcompare_locus_level_sensitivity	gffcompare_locus_level_precision	gffcompare_missed_exons_pct	gffcompare_novel_exons_pct	gffcompare_missed_introns_pct	gffcompare_novel_introns_pct	gffcompare_missed_loci_pct	gffcompare_novel_loci_pct	compare_status	verdict
Allomyces_macrogynus_ATCC_38327	runs/v1.8.17_conda/genome_annotation/Allomyces_macrogynus_ATCC_38327/predict_results/Allomyces_macrogynus_ATCC_38327.gff3	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/genome_annotation/Allomyces_macrogynus_ATCC_38327/predict_results/Allomyces_macrogynus_ATCC_38327.gff3	17241	16213	6.34		96.3	91.3	73.4	69.8	77.6	74.2	48.4	44.9	50.9	47.9	50.9	47.9	7.2	12.2	8.0	13.4	1.7	8.9	compared	PASS
Aspergillus_clavatus_NRRL_1	runs/v1.8.17_conda/genome_annotation/Aspergillus_clavatus_NRRL_1/predict_results/Aspergillus_clavatus_NRRL_1.gff3	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/genome_annotation/Aspergillus_clavatus_NRRL_1/predict_results/Aspergillus_clavatus_NRRL_1.gff3	8980	8488	5.8		99.2	92.1	85.7	77.8	88.4	78.8	71.6	66.4	74.4	70.3	74.4	70.3	2.3	11.8	4.2	14.3	0.8	7.5	compared	PASS
Batrachochytrium_dendrobatidis_JAM81	runs/v1.8.17_conda/genome_annotation/Batrachochytrium_dendrobatidis_JAM81/predict_results/Batrachochytrium_dendrobatidis_JAM81.gff3	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/genome_annotation/Batrachochytrium_dendrobatidis_JAM81/predict_results/Batrachochytrium_dendrobatidis_JAM81.gff3	7512	8007	-6.18		92.0	96.8	77.6	78.9	82.1	82.6	43.3	44.3	46.3	49.3	46.3	49.3	8.0	5.0	5.9	6.8	6.5	2.6	compared	PASS
Blastomyces_dermatitidis_ER-3	runs/v1.8.17_conda/genome_annotation/Blastomyces_dermatitidis_ER-3/predict_results/Blastomyces_dermatitidis_ER-3.gff3	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/genome_annotation/Blastomyces_dermatitidis_ER-3/predict_results/Blastomyces_dermatitidis_ER-3.gff3	8440	8249	2.32		98.4	96.4	87.6	80.7	91.2	81.5	73.9	68.4	74.2	72.5	74.2	72.5	2.6	9.6	2.1	12.1	2.3	5.8	compared	PASS
Cokeromyces_recurvatus_NRRL_2243	runs/v1.8.17_conda/genome_annotation/Cokeromyces_recurvatus_NRRL_2243/predict_results/Cokeromyces_recurvatus_NRRL_2243.gff3	/bigdata/stajichlab/shared/projects/BFD/Fungi_BFD_runs/genome_annotation/Cokeromyces_recurvatus_NRRL_2243/predict_results/Cokeromyces_recurvatus_NRRL_2243.gff3	9805	8410	16.59		94.2	48.1	52.0	15.1	90.7	14.0	4.4	0.8	10.0	8.6	10.0	8.6	3.7	70.6	2.6	84.7	4.1	37.7	compared	FAIL
