cell	genome	accession	phylum	refseq_annotation_release	query_gff3	query_gene_count	busco_complete_pct	busco_single_pct	busco_duplicated_pct	busco_fragmented_pct	busco_missing_pct	busco_n	ref_gff3	ref_gene_count	gffcompare_base_level_sensitivity	gffcompare_base_level_precision	gffcompare_exon_level_sensitivity	gffcompare_exon_level_precision	gffcompare_intron_level_sensitivity	gffcompare_intron_level_precision	gffcompare_intron_chain_level_sensitivity	gffcompare_intron_chain_level_precision	gffcompare_transcript_level_sensitivity	gffcompare_transcript_level_precision	gffcompare_locus_level_sensitivity	gffcompare_locus_level_precision	gffcompare_missed_exons_pct	gffcompare_novel_exons_pct	gffcompare_missed_introns_pct	gffcompare_novel_introns_pct	gffcompare_missed_loci_pct	gffcompare_novel_loci_pct	overlap_query_genes	overlap_ref_genes	overlap_query_genes_overlapping_ref	overlap_query_genes_overlap_same_strand	overlap_query_genes_overlap_opposite_strand	overlap_query_genes_no_overlap	overlap_ref_genes_not_recovered	compare_status
v1.9.0-rc1_container	Aspergillus_clavatus_NRRL_1	GCF_000002715.2	Ascomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Aspergillus_clavatus_NRRL_1/predict_results/Aspergillus_clavatus_NRRL_1.gff3	8975	97.2	97.2	0.1	1.3	1.5	3546	results/reference_annotations/.cache/GCF_000002715.2_ASM271v1_genomic.gff	9352	96.4	98.2	82.4	83.4	85.1	84.9	66.9	68.1	69.3	72.2	69.3	72.2	6.3	4.4	6.9	6.4	5.1	1.4	8975	9352	8872	8852	28	103	459	compared
v1.9.0-rc1_container	Blastomyces_dermatitidis_ER-3	GCF_000003525.1	Ascomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Blastomyces_dermatitidis_ER-3/predict_results/Blastomyces_dermatitidis_ER-3.gff3	8444	97.4	97.3	0.1	1.2	1.4	3546	results/reference_annotations/.cache/GCF_000003525.1_BD_ER3_V1_genomic.gff	9886	53.3	97.8	36.1	49.2	65.3	86.1	39.8	54.9	35.6	50.0	42.0	50.0	23.4	3.7	26.2	5.2	20.1	3.3	8444	9886	8242	8153	1791	202	1726	compared
v1.9.0-rc1_container	Cystobasidium_minutum_MCA_4210	GCF_039999085.1	Basidiomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Cystobasidium_minutum_MCA_4210/predict_results/Cystobasidium_minutum_MCA_4210.gff3	7168	90.9	90.7	0.2	1.9	7.2	1764	results/reference_annotations/.cache/GCF_039999085.1_Rhomi1_genomic.gff	7855	81.4	91.7	67.3	70.6	83.1	86.4	47.3	50.7	46.0	50.4	46.7	50.4	9.9	5.5	8.9	7.1	7.6	2.8	7168	7855	6983	6962	383	185	565	compared
v1.9.0-rc1_container	Dactylellina_haptotyla_CBS_200.50	GCF_000441935.1	Ascomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Dactylellina_haptotyla_CBS_200.50/predict_results/Dactylellina_haptotyla_CBS_200.50.gff3	10842	93.1	93.1	0.0	2.8	4.2	1706	results/reference_annotations/.cache/GCF_000441935.1_MHA_v2_genomic.gff	10959	93.1	98.8	81.5	83.3	84.5	86.8	66.9	65.5	67.8	68.5	67.8	68.5	7.4	3.8	7.3	5.4	5.9	2.3	10842	10959	10632	10594	58	210	614	compared
v1.9.0-rc1_container	Eremothecium_gossypii_ATCC_10895	GCF_000091025.4	Ascomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Eremothecium_gossypii_ATCC_10895/predict_results/Eremothecium_gossypii_ATCC_10895.gff3	4597	96.0	95.9	0.1	0.6	3.4	2137	results/reference_annotations/.cache/GCF_000091025.4_ASM9102v4_genomic.gff	5314	92.2	99.5	70.8	75.4	52.5	25.0	47.6	24.2	74.1	85.7	74.2	85.7	11.5	2.4	32.6	67.8	10.6	0.8	4597	5314	4575	4560	54	22	528	compared
v1.9.0-rc1_container	Laccaria_bicolor_S238N-H82	GCF_000143565.1	Basidiomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Laccaria_bicolor_S238N-H82/predict_results/Laccaria_bicolor_S238N-H82.gff3	15716	90.1	88.4	1.7	2.5	7.4	2898	results/reference_annotations/.cache/GCF_000143565.1_V1.0_genomic.gff	18213	77.2	76.9	47.7	55.4	55.7	64.8	18.4	21.0	18.4	21.4	18.5	21.4	30.8	20.8	32.6	21.9	28.8	18.2	15716	18213	13154	12849	517	2562	4980	compared
v1.9.0-rc1_container	Leptographium_clavigerum_kw1407	GCF_000143105.1	Ascomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Leptographium_clavigerum_kw1407/predict_results/Leptographium_clavigerum_kw1407.gff3	7924	89.7	89.6	0.2	3.0	7.3	3817	results/reference_annotations/.cache/GCF_000143105.1_Sanger-454-IlluminaPA_2.0_genomic.gff	8311	87.6	97.8	64.6	72.2	67.5	78.2	50.5	52.4	53.2	55.8	53.2	55.8	15.7	4.3	20.7	8.3	11.5	3.3	7924	8311	7692	7667	92	232	909	compared
v1.9.0-rc1_container	Letharia_columbiana_WasteWater2	GCF_014066305.1	Ascomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Letharia_columbiana_WasteWater2/predict_results/Letharia_columbiana_WasteWater2.gff3	11529	93.2	90.2	3.0	2.5	4.3	1706	results/reference_annotations/.cache/GCF_014066305.1_Lecol_v1.0_genomic.gff	13385	91.9	96.1	65.7	72.6	71.7	77.3	47.8	51.2	48.3	56.1	48.3	56.1	15.5	6.4	17.3	11.7	11.8	3.0	11529	13385	11267	11189	157	262	1456	compared
v1.9.0-rc1_container	Mixia_osmundae_IAM_14324	GCF_000708205.1	Basidiomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Mixia_osmundae_IAM_14324/predict_results/Mixia_osmundae_IAM_14324.gff3	6337	88.5	87.5	1.0	3.2	8.3	1764	results/reference_annotations/.cache/GCF_000708205.1_Mixia_osmundae_v1.0_genomic.gff	6838	84.4	97.6	56.9	67.0	69.0	83.3	36.6	38.8	35.8	38.6	37.1	38.6	16.5	2.2	20.9	5.8	11.6	1.1	6337	6838	6285	6268	1179	52	731	compared
v1.9.0-rc1_container	Nakaseomyces_glabratus_CBS_138	GCF_000002545.3	Ascomycota	legacy	runs/v1.9.0-rc1_container/genome_annotation/Nakaseomyces_glabratus_CBS_138/predict_results/Nakaseomyces_glabratus_CBS_138.gff3	5154	96.5	95.6	1.0	0.8	2.6	2137	results/reference_annotations/.cache/GCF_000002545.3_ASM254v2_genomic.gff	5458	96.7	98.8	80.2	78.2	25.3	7.2	24.0	7.6	82.8	87.7	82.8	87.7	5.9	5.0	53.9	86.6	4.7	1.1	5154	5458	5113	5097	29	41	243	compared
