cell	genome	status	n_tasks	n_failed	n_aborted	n_superseded	n_unresolved	task_time_hours_sum	wall_clock_hours	cpu_hours_sum	peak_rss_gb_max	rss_field	overhead_task_time_hours_sum	overhead_cpu_hours_sum	attempts	cpus	queues	accession	phylum	genome_size_mb	cpu_hours_per_mb	task_time_hours_per_mb
v1.8.17_conda	-	success	2	0	0	7	0	0.0015		0.0003	0.14	rss	0.0018	0.0005								
v1.8.17_conda	Allomyces_macrogynus_ATCC_38327	success	2	32	0	2	0	1.0931		6.0787	6.7	rss	14.8894	2.1823				GCA_000151295.1	Blastocladiomycota	57.1	0.10646	0.01914
v1.8.17_conda	Aspergillus_fumigatus_Af293	success	2	23	0	2	0	1.8028		5.4026	9.4	rss	16.3783	24.384				GCF_000002655.1	Ascomycota	29.4	0.18376	0.06132
v1.8.17_conda	Batrachochytrium_dendrobatidis_+9_more	success	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0								
v1.8.17_conda	Batrachochytrium_dendrobatidis_JAM81	success	2	29	0	1	0	1.6039		4.8282	5.0	rss	28.7503	22.5714				GCF_000203795.2	Chytridiomycota	23.8	0.20287	0.06739
v1.8.17_conda	Botrytis_cinerea_B05.10	success	2	0	0	0	0	10.3575		34.2865	11.4	rss	0.0	0.0				GCF_000143535.2	Ascomycota	42.6	0.80485	0.24313
v1.8.17_conda	Chaetomium_globosum_CBS_148.51	success	2	24	0	2	0	1.7681		5.7131	8.7	rss	39.9517	73.049				GCF_000143365.1	Ascomycota	34.3	0.16656	0.05155
v1.8.17_conda	Cryptococcus_deneoformans_JEC21	success	1	0	0	0	0	9.2519		22.4545	5.8	rss	0.0	0.0				GCF_000091045.1	Basidiomycota	19.1	1.17563	0.48439
v1.8.17_conda	Cryptococcus_neoformans_H99	success	2	29	0	0	0	1.7728		4.8076	8.0	rss	14.367	0.0				GCF_000149245.1	Basidiomycota	18.9	0.25437	0.0938
v1.8.17_conda	Fusarium_verticillioides_7600	success	2	0	0	0	0	7.9408		30.1758	13.4	rss	0.0	0.0				GCF_000149555.1	Ascomycota	41.8	0.72191	0.18997
v1.8.17_conda	Kluyveromyces_lactis_NRRL_Y-1140	success	1	0	0	0	0	2.2006		8.8638	2.8	rss	0.0	0.0				GCF_000002515.2	Ascomycota	10.7	0.8284	0.20566
v1.8.17_conda	Leptographium_clavigerum_+9_more	success	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0								
v1.8.17_conda	Malassezia_globosa	failed	1	12	0	0	1	0.0029		0.0007	0.045	rss	0.6	0.0								
v1.8.17_conda	Malassezia_globosa_CBS_7966	success	2	29	0	3	0	3.3086		9.1739	4.2	rss	11.5051	1.7423				GCF_000181695.2	Basidiomycota	9.0	1.01932	0.36762
v1.8.17_conda	Malassezia_sympodialis_+9_more	success	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0								
v1.8.17_conda	Malassezia_sympodialis_ATCC_42132	success	1	0	0	0	0	1.9022		10.9777	3.6	rss	0.0	0.0				GCF_000349305.1	Basidiomycota	7.7	1.42568	0.24704
v1.8.17_conda	Mucor_mucedo_NRRL_3635	success	1	0	0	0	0	6.0894		28.0602	5.5	rss	0.0	0.0				GCF_025094135.1	Mucoromycota	46.1	0.60868	0.13209
v1.8.17_conda	Nakaseomyces_glabratus_+9_more	success	1	0	0	0	0	0.0001		0.0	0.003	rss	0.0	0.0								
v1.8.17_conda	Nakaseomyces_glabratus_CBS_138	success	1	0	0	0	0	2.7919		14.1942	3.4	rss	0.0	0.0				GCF_000002545.3	Ascomycota	12.3	1.154	0.22699
v1.8.17_conda	Orbilia_oligospora_ATCC_24927	success	1	0	0	0	0	6.5319		33.3652	8.7	rss	0.0	0.0				GCF_000225545.1	Ascomycota	40.1	0.83205	0.16289
v1.8.17_conda	Pneumocystis_murina_+9_more	success	1	0	0	0	0	0.0002		0.0	0.003	rss	0.0	0.0								
