cell	genome	accession	phylum	refseq_annotation_release	query_gff3	query_gene_count	busco_complete_pct	busco_single_pct	busco_duplicated_pct	busco_fragmented_pct	busco_missing_pct	busco_n	ref_gff3	ref_gene_count	gffcompare_base_level_sensitivity	gffcompare_base_level_precision	gffcompare_exon_level_sensitivity	gffcompare_exon_level_precision	gffcompare_intron_level_sensitivity	gffcompare_intron_level_precision	gffcompare_intron_chain_level_sensitivity	gffcompare_intron_chain_level_precision	gffcompare_transcript_level_sensitivity	gffcompare_transcript_level_precision	gffcompare_locus_level_sensitivity	gffcompare_locus_level_precision	gffcompare_missed_exons_pct	gffcompare_novel_exons_pct	gffcompare_missed_introns_pct	gffcompare_novel_introns_pct	gffcompare_missed_loci_pct	gffcompare_novel_loci_pct	overlap_query_genes	overlap_ref_genes	overlap_query_genes_overlapping_ref	overlap_query_genes_overlap_same_strand	overlap_query_genes_overlap_opposite_strand	overlap_query_genes_no_overlap	overlap_ref_genes_not_recovered	compare_status
v1.9.0-rc1_container.sif20260921	Allomyces_macrogynus_ATCC_38327	GCA_000151295.1	Blastocladiomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Allomyces_macrogynus_ATCC_38327/predict_results/Allomyces_macrogynus_ATCC_38327.gff3	16712	85.0	30.5	54.5	3.0	12.0	758	results/reference_annotations/.cache/GCA_000151295.1_A_macrogynus_V3_genomic.gff	19266	71.7	94.6	51.0	50.6	76.9	71.2	39.5	43.3	37.7	45.0	39.0	45.0	12.7	10.3	11.5	18.8	9.1	4.7	16712	19266	16025	15931	963	687	1561	compared
v1.9.0-rc1_container.sif20260921	Aspergillus_clavatus_NRRL_1	GCF_000002715.2	Ascomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Aspergillus_clavatus_NRRL_1/predict_results/Aspergillus_clavatus_NRRL_1.gff3	8974	97.3	97.2	0.1	1.2	1.5	3546	results/reference_annotations/.cache/GCF_000002715.2_ASM271v1_genomic.gff	9352	96.5	98.2	82.5	83.5	85.2	85.0	67.1	68.3	69.5	72.4	69.5	72.4	6.3	4.4	6.8	6.4	5.1	1.4	8974	9352	8872	8852	28	102	459	compared
v1.9.0-rc1_container.sif20260921	Aspergillus_fumigatus_Af293	GCF_000002655.1	Ascomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Aspergillus_fumigatus_Af293/predict_results/Aspergillus_fumigatus_Af293.gff3	9983	96.1	95.9	0.2	2.0	1.9	3546	results/reference_annotations/.cache/GCF_000002655.1_ASM265v1_genomic.gff	10085	73.6	96.6	53.2	52.2	79.6	77.2	53.3	52.8	50.6	51.1	50.7	51.1	10.8	8.7	14.1	15.7	6.1	5.5	9983	10085	9595	9433	290	388	518	compared
v1.9.0-rc1_container.sif20260921	Batrachochytrium_dendrobatidis_JAM81	GCF_000203795.2	Chytridiomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Batrachochytrium_dendrobatidis_JAM81/predict_results/Batrachochytrium_dendrobatidis_JAM81.gff3	7985	89.6	87.9	1.7	2.0	8.4	758	results/reference_annotations/.cache/GCF_000203795.2_v1.1_genomic.gff	8386	90.7	83.9	72.3	66.4	84.0	74.4	41.3	40.9	41.6	43.7	41.7	43.7	6.2	14.2	7.4	16.8	5.2	6.4	7985	8386	7595	7490	235	390	375	compared
v1.9.0-rc1_container.sif20260921	Blastomyces_dermatitidis_ER-3	GCF_000003525.1	Ascomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Blastomyces_dermatitidis_ER-3/predict_results/Blastomyces_dermatitidis_ER-3.gff3	8445	97.4	97.3	0.1	1.2	1.4	3546	results/reference_annotations/.cache/GCF_000003525.1_BD_ER3_V1_genomic.gff	9886	53.3	97.8	36.1	49.2	65.3	86.2	39.8	55.1	35.7	50.1	42.1	50.1	23.4	3.7	26.2	5.1	20.1	3.3	8445	9886	8244	8155	1791	201	1726	compared
v1.9.0-rc1_container.sif20260921	Botrytis_cinerea_B05.10	GCF_000143535.2	Ascomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Botrytis_cinerea_B05.10/predict_results/Botrytis_cinerea_B05.10.gff3	12137	96.4	96.4	0.0	2.0	1.5	3234	results/reference_annotations/.cache/GCF_000143535.2_ASM14353v4_genomic.gff	11698	68.5	97.6	40.4	42.4	84.8	88.0	59.5	69.6	52.2	58.9	61.1	58.9	8.0	4.8	11.3	9.7	2.9	7.1	12137	11698	11358	11282	170	779	306	compared
v1.9.0-rc1_container.sif20260921	Chaetomium_globosum_CBS_148.51	GCF_000143365.1	Ascomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Chaetomium_globosum_CBS_148.51/predict_results/Chaetomium_globosum_CBS_148.51.gff3	10821	84.0	83.9	0.1	9.0	7.0	3817	results/reference_annotations/.cache/GCF_000143365.1_ASM14336v1_genomic.gff	11222	80.3	91.4	48.2	50.0	52.2	54.1	28.1	30.5	31.9	33.1	32.0	33.1	22.2	16.1	27.2	20.9	13.7	7.3	10821	11222	10258	10027	322	563	1356	compared
v1.9.0-rc1_container.sif20260921	Cokeromyces_recurvatus_NRRL_2243	GCF_025118155.1	Mucoromycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Cokeromyces_recurvatus_NRRL_2243/predict_results/Cokeromyces_recurvatus_NRRL_2243.gff3	10628	95.3	94.0	1.3	1.1	3.6	2449	results/reference_annotations/.cache/GCF_025118155.1_Cokrec1_genomic.gff	11064	85.7	91.4	68.0	64.3	85.9	78.8	49.2	47.4	44.7	46.6	46.2	46.6	6.7	10.1	8.1	15.2	6.2	7.2	10628	11064	9943	9868	601	685	581	compared
v1.9.0-rc1_container.sif20260921	Colletotrichum_graminicola_M1.001	GCF_000149035.1	Ascomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Colletotrichum_graminicola_M1.001/predict_results/Colletotrichum_graminicola_M1.001.gff3	11879	97.4	97.2	0.2	1.6	1.0	3817	results/reference_annotations/.cache/GCF_000149035.1_C_graminicola_M1_001_V1_genomic.gff	12398	93.4	96.3	77.6	73.5	86.4	77.4	66.6	62.4	61.9	64.6	61.9	64.6	7.2	9.7	7.4	16.6	6.7	4.8	11879	12398	11357	11313	82	522	753	compared
v1.9.0-rc1_container.sif20260921	Cryptococcus_deneoformans_JEC21	GCF_000091045.1	Basidiomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Cryptococcus_deneoformans_JEC21/predict_results/Cryptococcus_deneoformans_JEC21.gff3	6700	94.3	94.0	0.3	1.8	3.9	4284	results/reference_annotations/.cache/GCF_000091045.1_ASM9104v1_genomic.gff	6766	77.2	97.8	71.4	77.4	87.1	95.3	58.5	63.4	58.9	61.6	60.9	61.6	9.5	2.3	10.4	2.6	4.1	3.9	6700	6766	6474	6434	655	226	199	compared
v1.9.0-rc1_container.sif20260921	Cryptococcus_neoformans_H99	GCF_000149245.1	Basidiomycota	legacy	archive/v1.9.0-rc1_container.sif20260921/genome_annotation/Cryptococcus_neoformans_H99/predict_results/Cryptococcus_neoformans_H99.gff3	6966	95.1	95.1	0.0	2.5	2.5	4284	results/reference_annotations/.cache/GCF_000149245.1_CNA3_genomic.gff	8334	67.4	99.1	65.0	72.7	86.4	94.3	49.4	63.6	47.6	62.8	52.5	62.8	11.7	1.2	10.9	3.6	16.4	0.9	6966	8334	6917	6902	1859	49	777	compared
